original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
preludio (andante). etude (non troppo lento), 1851, "piano,  etude", g minor, pf
(andante), 1851, "piano,  etude", e? major, pf
la campanella (allegretto), 1851, "piano,  etude", g? minor, pf
(vivo), 1851, "piano,  etude", e major, pf
(allegretto), 1851, "piano,  etude", e major, pf
(quasi presto), 1851, "piano,  etude", a minor, pf
"album leaf (""introduction to the grande Étude de paganini no 6"")", 1884, "piano,  etude", , pf
morceau de salon (Étude de perfectionnement), 1840, "piano,  etude", , pf
ab irato (Étude de perfectionnement), 1852, "piano,  etude", , pf
3 Études de concert (3):, 1845–49, "piano,  etude", , pf
il lamento, 1845–49, "piano,  etude", a? major, pf
la leggierezza, 1845–49, "piano,  etude", f minor, pf
un sospiro, 1845–49, "piano,  etude", d? major, pf
two additional cadenzas to un sospiro, 1848?, "piano,  etude", d? major, pf
konzertetüden (concert-studies) (2):, 1862, "piano,  etude", , pf
waldesrauschen (forest murmurs), 1862, "piano,  etude", a? major, pf
gnomenreigen (gnomes' round dance), 1862, "piano,  etude", a major–c?minor, pf
technische studien (technical studies), 1868–73, "piano,  etude", , pf
various original works, , , , , 

variation on a waltz by diabelli (variation über einen walzer von diabelli), 1822, "piano,  original", c major, pf
variationen über romanze aus joseph von méhul, , "piano,  original", , pf
variations (8), 1824, "piano,  original", a? major, pf
variations brillantes sur un thème de rossini (7), 1824, "piano,  original", , pf
impromptu brillant sur des thèmes de rossini et spontini, 1824, "piano,  original", , pf
allegro di bravura, 1824–25, "piano,  original", e? minor, pf
adagio non troppo, 1824?, "piano,  original", , pf
rondo di bravura, 1824–25, "piano,  original", e minor, pf
klavierstück, 1824–27?, "piano,  original", a? major, pf
