original works, , , , , 

opera, , , , , 

don sanche (le château de l'amour), 1824–25, stage, , vv ch orch, "opera in 1 act; libretto by théaulon and de rancé
trockne blumen, 1844, "piano,  transcr.", , pf
ungeduld, 1844, "piano,  transcr.", , pf
die forelle, 1844, "piano,  transcr.", , pf
die forelle (lied von franz schubert), 1846, "piano,  transcr.", , pf
müllerlieder von franz schubert, 1846, "piano,  transcr.", , pf
das wandern, 1846, "piano,  transcr.", , pf
der müller und der bach, 1846, "piano,  transcr.", , pf
der jäger, 1846, "piano,  transcr.", , pf
die böse farbe, 1846, "piano,  transcr.", , pf
wohin?, 1846, "piano,  transcr.", , pf
ungeduld, 1846, "piano,  transcr.", , pf
müllerlieder von franz schubert, 1879, "piano,  transcr.", , pf
das wandern, 1879, "piano,  transcr.", , pf
der müller und der bach, 1879, "piano,  transcr.", , pf
der jäger, 1879, "piano,  transcr.", , pf
die böse farbe, 1879, "piano,  transcr.", , pf
wohin?, 1879, "piano,  transcr.", , pf
ungeduld, 1879, "piano,  transcr.", , pf
grosse fantasie von franz schubert, 1868, "piano,  transcr.", c major, pf
impromptus von f. schubert (4), 1868, "piano,  transcr.", , pf
liebeslied (widmung von robert schumann), 1848, "piano,  transcr.", , pf
liebeslied (widmung von robert schumann), 1850-59?, "piano,  transcr.", , pf
lieder von robert schumann, 1861, "piano,  transcr.", , pf
an den sonnenschein, 1861, "piano,  transcr.", , pf
rotes röslein, 1861, "piano,  transcr.", , pf
frühlingsnacht (lied von robert schumann), 1872, "piano,  transcr.", , pf
lieder von robert und clara schumann (10):, 1874, "piano,  transcr.", , pf
weihnachtslied, 1874, "piano,  transcr.", , pf
die wandelnde glocke, 1874, "piano,  transcr.", , pf
frühlings ankunft, 1874, "piano,  transcr.", , pf
des sennen abschied, 1874, "piano,  transcr.", , pf
er ist's, 1874, "piano,  transcr.", , pf
nur wer die sehnsucht kennt, 1874, "piano,  transcr.", , pf
an die türen will ich schleichen, 1874, "piano,  transcr.", , pf
warum willst du and're fragen, 1874, "piano,  transcr.", , pf
ich hab' in deinem auge, 1874, "piano,  transcr.", , pf
geheimes flüstern hier und dort, 1874, "piano,  transcr.", , pf
provenzalisches minnelied (von robert schumann), 1881, "piano,  transcr.", , pf
polka de salon (einleitung und coda zu smetanas polka), 1885, "piano,  transcr.", f? major, pf
die rose (romanze von louis spohr), 1876, "piano,  transcr.", , pf
valse-caprice no.3 (einleitung und schlußtakte zu tausigs dritter valse-caprice), 1880, "piano,  transcr.", , pf
marche hongroise de szabadi (revive szegedin!), 1879, "piano,  transcr.", , pf
einleitung und ungarischer marsch von graf imre széchényi (bevezetés és magyar induló gróf széchényi imrétõl ), 1872, "piano,  transcr.", , pf
seconda mazurka di tirindelli, 1880, "piano,  transcr.", , pf
ouvertüre zur webers oper oberon, 1846, "piano,  transcr.", , pf
ouvertüre aus webers oper der freischütz, 1846, "piano,  transcr.", , pf
webers jubelovertüre, 1846, "piano,  transcr.", , pf
konzertstück (von weber), 1868–70, "piano,  transcr.", , pf
i love (romanze von wielhorski), 1842, "piano,  transcr.", , pf
autrefois (romance du comte mikaïl yourievitch wielhorsky), 1843, "piano,  transcr.", , pf
"romance ""lyubila ya""", 1842?, "piano,  transcr.", , pf
"romance ""lyubila ya""", 1843?, "piano,  transcr.", , pf
pianoforte duet, , , , , 

12 nocturnes (john field), 1877, "piano,  4 hands,  arr.", 
nocturne no.1, 1877, "piano,  4 hands,  arr.", 
nocturne no.2, 1877, "piano,  4 hands,  arr.", 
nocturne no.3, 1877, "piano,  4 hands,  arr.", 
nocturne no.4, 1877, "piano,  4 hands,  arr.", 
nocturne no.5, 1877, "piano,  4 hands,  arr.", 
nocturne no.6, 1877, "piano,  4 hands,  arr.", 
nocturne no.7, 1877, "piano,  4 hands,  arr.", 
nocturne no.8, 1877, "piano,  4 hands,  arr.", 
nocturne no.9, 1877, "piano,  4 hands,  arr.", 
nocturne no.10, 1877, "piano,  4 hands,  arr.", 
nocturne no.11, 1877, "piano,  4 hands,  arr.", 
nocturne no.12, 1877, "piano,  4 hands,  arr.", 
die legende von der heiligen elisabeth:, 1862–66?, "piano,  4 hands,  arr.", 
orchester einleitung, 1862–66?, "piano,  4 hands,  arr.", 
marsch der kreuzritter, 1862–66?, "piano,  4 hands,  arr.", 
der sturm, 1862–66?, "piano,  4 hands,  arr.", 
interludium, 1862–66?, "piano,  4 hands,  arr.", 
orchestersätze aus dem oratorium christus (2):, 1866–73?, "piano,  4 hands,  arr.", 
hirtengespiel an der krippe, 1866–73?, "piano,  4 hands,  arr.", 
die heiligen drei könige, 1866–73?, "piano,  4 hands,  arr.", 
excelsior! (preludio zu dem glocken des strassburger münsters), 1874, "piano,  4 hands,  arr.", 
aus der ungarischen krönungsmesse, 1869, "piano,  4 hands,  arr.", 
benedictus, 1869, "piano,  4 hands,  arr.", 
offertorium, 1869, "piano,  4 hands,  arr.", 
o lamm gottes!, 1878-79, "piano,  4 hands,  arr.", 
via crucis (les 14 stations de la croix), 1878–79, "piano,  4 hands,  arr.", 
fest-cantate für die inaugurations-feier des beethoven-denkmals in bonn, 1845, "piano,  4 hands,  arr.", 
pastorale (schnitterchor aus dem entfesselten prometheus), 1861, "piano,  4 hands,  arr.", 
gaudeamus igitur (humoreske), 1870?, "piano,  4 hands,  arr.", 
marche héroique, 1848?, "piano,  4 hands,  arr.", 
weimars volkslied, 1857, "piano,  4 hands,  arr.", 
ce qu'on entend sur la montagne (symphonic poem no.1), 1874, "piano,  4 hands,  arr.", 
tasso: lamento e trionfo, 1858, "piano,  4 hands,  arr.", 
(symphonic poem no.2), , , , , 

les préludes, 1853–58, "piano,  4 hands,  arr.", 
(symphonic poem no.3), , , , , 

orpheus, 1858, "piano,  4 hands,  arr.", 
(symphonic poem no.4), , , , , 

prometheus, 1858?, "piano,  4 hands,  arr.", 
(symphonic poem no.5), , , , , 

mazeppa, 1874, "piano,  4 hands,  arr.", 
(symphonic poem no.6), , , , , 

festklänge, 1854–61, "piano,  4 hands,  arr.", 
(symphonic poem no.7), , , , , 

hungaria, 1874, "piano,  4 hands,  arr.", 
(symphonic poem no.9), , , , , 

héroïde funèbre, 1877, "piano,  4 hands,  arr.", 
(symphonic poem no.8), , , , , 

hunnenschlacht, 1877, "piano,  4 hands,  arr.", 
(symphonic poem no.11), , , , , 

die ideale, 1874–77, "piano,  4 hands,  arr.", 
(symphonic poem no.12), , , , , 

hamlet, 1874, "piano,  4 hands,  arr.", 
(symphonic poem no.10), , , , , 

von der wiege bis zum grabe (from the cradle to the grave), 1881, "piano,  4 hands,  arr.", 
(symphonic poem no.13), , , , , 

episoden aus lenau's faust (2), 1856–61?, "piano,  4 hands,  arr.", 
der nächtliche zug, 1856–61?, "piano,  4 hands,  arr.", 
der tanz in der dorfschenke (mephisto waltz), 1856–61?, "piano,  4 hands,  arr.", 
mephisto waltz no.2, 1880–81, "piano,  4 hands,  arr.", 
odes funèbres (3):, 1860–69, "piano,  4 hands,  arr.", 
les morts, 1860, "piano,  4 hands,  arr.", 
la notte, 1866, "piano,  4 hands,  arr.", 
le triomphe funèbre du tasse, 1866–69, "piano,  4 hands,  arr.", 
boze co? polsk?, 1863, "piano,  4 hands,  arr.", 
salve polonia (interludium aus dem oratorium st. stanislaus), 1884, "piano,  4 hands,  arr.", 
künstlerfestzug zur schillerfeier 1859, 1859, "piano,  4 hands,  arr.", 
festmarsch zur goethe-jubiläumfeier, 1858?, "piano,  4 hands,  arr.", 
festmarsch nach motiven von e.h.z.s.-c.-g., 1858–59, "piano,  4 hands,  arr.", 
rákóczi-marsch, 1870, "piano,  4 hands,  arr.", 
ungarischer marsch zur krönungsfeier in ofen-pest am 8. juni 1867, 1870, "piano,  4 hands,  arr.", 
ungarischer sturmmarsch (hungarian battle march), 1875, "piano,  4 hands,  arr.", 
epithalam (zu eduard reményi‘s vermählungsfeier), 1872, "piano,  4 hands,  arr.", 
elegy no.1, 1874, "piano,  4 hands,  arr.", 
weihnachtsbaum, 1875?, "piano,  4 hands,  arr.", 
psallite (altes weihnacthen), 1875?, "piano,  4 hands,  arr.", 
o heilige nacht!, 1875?, "piano,  4 hands,  arr.", 
"die hirten an der krippe (""in dulci jubilo"")", 1875?, "piano,  4 hands,  arr.", 
adeste fideles (gleichsam als marsch der heiligen drei konige), 1875?, "piano,  4 hands,  arr.", 
scherzoso, 1875?, "piano,  4 hands,  arr.", 
reveille-matin (wecker), 1875?, "piano,  4 hands,  arr.", 
schlummerlied, 1875?, "piano,  4 hands,  arr.", 
(alt-provenzalisches noel), 1875?, "piano,  4 hands,  arr.", 
(abendglocken), 1875?, "piano,  4 hands,  arr.", 
(ehemals), 1875?, "piano,  4 hands,  arr.", 
ungarisch, 1875?, "piano,  4 hands,  arr.", 
polnisch, 1875?, "piano,  4 hands,  arr.", 
weihnachtsbaum, 1876–81, "piano,  4 hands,  arr.", 
altes weihnacthen (psalite), 1876–81, "piano,  4 hands,  arr.", 
o heilige nacht!, 1876–81, "piano,  4 hands,  arr.", 
"die hirten an der krippe (""in dulci jubilo"")", 1876–81, "piano,  4 hands,  arr.", 
adeste fideles (gleichsam als marsch der heiligen drei konige, 1876–81, "piano,  4 hands,  arr.", 
scherzoso (man zündet die kerzen des baumes an), 1876–81, "piano,  4 hands,  arr.", 
carillon, 1876–81, "piano,  4 hands,  arr.", 
schlummerlied, 1876–81, "piano,  4 hands,  arr.", 
altes provenzalisches weihnachtslied, 1876–81, "piano,  4 hands,  arr.", 
abendglocken, 1876–81, "piano,  4 hands,  arr.", 
ehemals, 1876–81, "piano,  4 hands,  arr.", 
ungarisch, 1876–81, "piano,  4 hands,  arr.", 
polnisch, 1876–81, "piano,  4 hands,  arr.", 
dem andenken petöfis, 1877, "piano,  4 hands,  arr.", 
grande valse di bravura (la bal de berne), 1836, "piano,  4 hands,  arr.", 
mephisto waltz no.3, 1883, "piano,  4 hands,  arr.", 
grand galop chromatique, 1838, "piano,  4 hands,  arr.", 
csárdás macabre, 1881–82, "piano,  4 hands,  arr.", 
csárdás obstiné, 1884?, "piano,  4 hands,  arr.", 
vom fels zum meer! (deutscher siegesmarsch), 1853–56?, "piano,  4 hands,  arr.", 
bülow-marsch, 1883, "piano,  4 hands,  arr.", 
festpolonaise, 1876, "piano,  4 hands,  arr.", 
hussitenlied (aus dem 15. jahrhundert), 1840–41, "piano,  4 hands,  arr.", 
hungarian rhapsodies (6):, 1857–60, "piano,  4 hands,  arr.", 
hungarian rhapsody no.1, 1860, "piano,  4 hands,  arr.", f minor
hungarian rhapsody no.2, 1860, "piano,  4 hands,  arr.", d minor
hungarian rhapsody no.3, 1860, "piano,  4 hands,  arr.", d major
hungarian rhapsody no.4, 1860, "piano,  4 hands,  arr.", d minor
hungarian rhapsody no.5 (héroïde-élégiaque), 1860, "piano,  4 hands,  arr.", e minor
hungarian rhapsody no.6 (pesther carneval), 1860, "piano,  4 hands,  arr.", 
ungarische rhapsodie zu den budapester munkácsy-feierlichkeiten, 1882, "piano,  4 hands,  arr.", 
hungarian rhapsody no.18, 1885, "piano,  4 hands,  arr.", 
hungarian rhapsody no.19, 1885?, "piano,  4 hands,  arr.", 
"fantasie und fuge über den choral ad nos,  ad salutarem undam", 1850, "piano,  4 hands,  arr."
der papsthymnus, 1865, "piano,  4 hands,  arr.", 
magyar király-dal (ungarisches königslied), 1883, "piano,  4 hands,  arr.", 
grand fantaisie de concert sur des motifs favoris de l'opera la sonnambula, 1852, "piano,  4 hands,  arr.", 
bénédiction et serment (deux motifs de benvenuto cellini de berlioz), 1852–53, "piano,  4 hands,  arr.", 
marche et cavatine de lucie de lammermoor, 1844?, "piano,  4 hands,  arr.", 
szózat und hymnus (2 vaterländische dichtungen von vörösmarty and kölcsey), 1873, "piano,  4 hands,  arr.", 
tscherkessenmarsch aus glinkas oper rußlan und ludmilla, 1875, "piano,  4 hands,  arr.", 
réminiscences de robert le diable (valse infernale), 1841-43, "piano,  4 hands,  arr.", 
andante finale und marsch aus der oper könig alfred, 1853?, "piano,  4 hands,  arr.", 
andante, 1853?, "piano,  4 hands,  arr.", 
marsch, 1853?, "piano,  4 hands,  arr.", 
franz schuberts märsche (4), 1859–70, "piano,  4 hands,  arr.", 
(vivace), 1859–70, "piano,  4 hands,  arr.", b minor
trauermarsch, 1859–70, "piano,  4 hands,  arr.", e? minor
reitermarsch, 1859–70, "piano,  4 hands,  arr.", c major
ungarischer marsch, 1859–70, "piano,  4 hands,  arr.", d minor
À la chapelle sixtine (miserere d'allegri et ave verum corpus de mozart), 1865, "piano,  4 hands,  arr.", 
grand septuor de beethoven, 1840–42, "piano,  4 hands,  arr.", 
adagio von die zauberflöte (der welcher wandelt diese strasse), 1875–81?, "piano,  4 hands,  arr.", 
stücke aus tannhäuser und lohengrin (2):, 1862?, "piano,  4 hands,  arr.", 
einzug der gäste auf der wartburg, 1862?, "piano,  4 hands,  arr.", 
elsas brautzug zum münster, 1862?, "piano,  4 hands,  arr.", 
two pianofortes, , , , , 

ce qu'on entend sur la montagne (symphonic poem no.1), 1854–56, "piano,  2 pianos,  arr.", 
tasso: lamento e trionfo, 1854–56, "piano,  2 pianos,  arr.", 
(symphonic poem no.2), , , , , 

les préludes, 1855?, "piano,  2 pianos,  arr.", 
(symphonic poem no.3), , , , , 

orpheus, 1855–56, "piano,  2 pianos,  arr.", 
(symphonic poem no.4), , , , , 

prometheus, 1855–56, "piano,  2 pianos,  arr.", 
(symphonic poem no.5), , , , , 

mazeppa, 1855, "piano,  2 pianos,  arr.", 
(symphonic poem no.6), , , , , 

festklänge, 1853, "piano,  2 pianos,  arr.", 
(symphonic poem no.7), , , , , 

héroïde funèbre, 1854–56, "piano,  2 pianos,  arr.", 
(symphonic poem no.8), , , , , 

hungaria, 1855–56, "piano,  2 pianos,  arr.", 
(symphonic poem no.9), , , , , 

hamlet, 1858–60, "piano,  2 pianos,  arr.", 
(symphonic poem no.10), , , , , 

hunnenschlacht, 1857–60, "piano,  2 pianos,  arr.", 
(symphonic poem no.11), , , , , 

die ideale, 1857–58, "piano,  2 pianos,  arr.", 
(symphonic poem no.12), , , , , 

faust symphony (eine faust-symphonie), 1856, "piano,  2 pianos,  arr.", 
dante symphony (eine symphonie zu dantes divina commedia), 1856–57, "piano,  2 pianos,  arr.", 
fantasie über motiven aus beethovens ruinen von athen, 1852, "piano,  2 pianos,  arr.", 
piano concerto no.1, 1853–56?, "piano,  2 pianos,  arr.", e? major
piano concerto no.2, 1859, "piano,  2 pianos,  arr.", a major
totentanz, 1859–65?, "piano,  2 pianos,  arr.", 
rákóczi-marsch, 1870, "piano,  2 pianos,  arr.", 
franz schuberts grosse fantasie, 1851–62?, "piano,  2 pianos,  arr.", c major
hexaméron (morceaux de concert. grandes variations de bravoure sur la marche des puritains de bellini), 1840, "piano,  2 pianos,  arr.", 
hexaméron (morceaux de concert. grandes variations de bravoure sur la marche des puritains de bellini), 1870?, "piano,  2 pianos,  arr.", 
réminiscences de norma, 1845–74?, "piano,  2 pianos,  arr.", 
réminiscences de don juan (grande fantaisie), 1876–77, "piano,  2 pianos,  arr.", 
symphony no.9 de beethoven [beethoven], 1851, "piano,  2 pianos,  arr.", d minor
piano concerto no.3[beethoven], 1878–79, "piano,  2 pianos,  arr.", c minor
piano concerto no.4 [beethoven], 1878–79, "piano,  2 pianos,  arr.", g major
piano concerto no.5 [beethoven], 1878–79, "piano,  2 pianos,  arr.", e? major
bülow-marsch, 1884, "piano,  2 pianos,  arr.", 
organ, , , , , 

evocation á la chapelle sixtine, 1862–65?, "organ,  arr.", , org/harm
ave maria d'arcadelt, 1862–63, "organ,  arr.", , org/harm
einleitung und fuge (aus der motette ich hatte viel bekümmernis), 1860–66, "organ,  arr.", , org/harm
andante (aus tiefer not), 1856–60?, "organ,  arr.", , org/harm
adagio vom bach, 1861–63, "organ,  arr.", , org/harm
prelude, 1862–63?, "organ,  arr.", e minor, org
prelude, 1862–63?, "organ,  arr.", e major, org
regina coeli laetare, 1865, "organ,  arr.", , org/harm
einleitung zur legende von der heiligen elisabeth, 1872, "organ,  arr.", , org/harm
tu es petrus aus dem oratorio christus, 1867, "organ,  arr.", , org/harm
tu es petrus aus dem oratorio christus, 1867, "organ,  arr.", , org
san francesco, 1880, "organ,  arr.", , org
preludio (excelsior!), 1874–75, choral, , org (+ ch), arr. of prelude from s.6

offertorium aus der ungarischen krönungsmesse, 1868?, "organ,  arr.", , org/harm
psalm 18 (coeli enarrant gloriam dei / die himmel erzählen die ehre gottes), 1860, "organ,  arr.", , org
gebet (ave maria), 1842?, "organ,  arr.", , org
ave maria i, 1856–59?, "organ,  arr.", , org
ave maria ii, 1869, "organ,  arr.", d major, harm
"slavimo slavno,  slaveni!", 1863, "organ,  arr.", 
ave maris stella, 1871, "organ,  arr.", , harm
kirchenhymnen (2), 1877, "organ,  arr.", , org/harm
salve regina, 1877, "organ,  arr.", , org/harm
ave maris stella, 1877, "organ,  arr.", , org/harm
deutsche kirchenlieder (7):, 1878-1879, choral, , v ch pf/org, arr. from s.50

es segne uns gott, 1878–79, choral, , ch org, arr. of s.50/1

gott sei gnädig (der kirchensegen), 1878–79, choral, , v/ch org, arr. of s.50/2

nun ruhen alle wälder, 1878–79, vocal, , v org, arr. of s.50/3

o haupt voll blut und wunden, 1878–79, vocal, , v org, arr. of s.50/4

o lamm gottes!, 1878–79, vocal, , v pf/org, arr. of s.50/5

"was gott tut,  das ist wohlgetan", 1878–79, vocal, , v org
wer nur den lieben gott läßt walten, 1878–79, vocal, , v org, arr. of s.50/7

via crucis (les 14 stations de la croix), 1876–79, "organ,  arr.", , org
o roma nobilis, 1878–79, "organ,  arr.", , org
rosario, 1879, "organ,  arr.", , org/harm
mysteria gaudiosa, 1879, "organ,  arr.", , org/harm
mysteria dolorosa, 1879, "organ,  arr.", , org/harm
mysteria gloriosa, 1879, "organ,  arr.", , org/harm
in domum domini ibimus (zum haus des herrn ziehen wir), 1884, "organ,  arr.", , org
zur trauung, 1883?, "organ,  arr.", , org
weimars volkslied, 1857–63?, "organ,  arr.", , org
weimars volkslied, 1872–73?, "organ,  arr.", , org/harm
orpheus, 1860–72, "organ,  arr.", , org/harm
(symphonic poem no.4), , , , , 

"einleitung,  fuge und magnificat aus der symphonie zu dantes divina commedia", 1860, "organ,  arr.", 
angelus! prière aux anges gardiens, 1877–82, "organ,  arr.", , harm
consolations (4):, 1866–79, "organ,  arr.", , org/harm
(lento placido), 1879?, "organ,  arr.", a major, org/harm
(adagio), 1866–67?, "organ,  arr.", d? major, org/harm
(andantino), 1872–73?, "organ,  arr.", e major, org/harm
(trôstung), 1879?, "organ,  arr.", e major, org/harm
variationen über das motiv von bach, 1862–63, "organ,  arr.", , org
a magyarok istene (ungarns gott), 1881, "organ,  arr.", , org/harm
o sacrum convivium, 1881–85?, "organ,  arr.", , org/harm
ave maria iv, 1881, "organ,  arr.", , org/harm
nun danket alle gott, 1884, "organ,  arr.", , org
ave verum corpus de mozart, 1886, "organ,  arr.", , org
kirchliche fest-ouvertu?re, 1852, "organ,  arr.", , org/pfped
in der christmette, 1873?, "organ,  arr.", , vn org
davidsbündlertänze, 1870?, "organ,  arr.", , org
agnus dei della messa da requiem di giuseppe verdi, 1877–78, "organ,  arr.", , org/harm
agnus dei della messa da requiem di giuseppe verdi, 1883, "organ,  arr.", , org/harm
chor der jüngeren pilger (der gnade heil), 1860, "organ,  arr.", , org/harm
chor der jüngeren pilger (der gnade heil), 1862, "organ,  arr.", , org/harm
organ with other instruments, , , , , 

hosannah (alleluja del cantico del sol), 1862–63, "organ,  chamber,  arr.", 
aus der ungarischen krönungsmesse, 1871, "organ,  chamber,  arr.", 
benedictus, 1871, "organ,  chamber,  arr.", 
offertorium, 1871, "organ,  chamber,  arr.", 
cujus animam aus rossinis stabat mater, 1860–70?, "organ,  chamber,  arr.", 
vocal arrangements, , , , , 

ave maris stella, 1868, "organ,  vocal,  arr.", d major
ave maria ii, 1869, "organ,  vocal,  arr.", 
cujus animam aus rossinis stabat mater, 1874?, "organ,  vocal,  arr.", 
serbisches lied (ein mädchen sitzt am meeresstrand), 1858?, "piano,  vocal,  arr.", 
gebet, 1883?, "organ,  vocal,  arr.", 
barcarole vénitienne de pantaleoni, 1840, "piano,  vocal,  arr.", 
es hat geflammt die ganze nacht (lied der grossherzogin marie pavlovna), 1849–54, "piano,  vocal,  arr.", 
recitation, , , , , 

helges treue, 1860, "vocal,  recitation,  arr.", 
unfinished works, , , , , 

sardanapale, 1846–55?, "opera,  unfinished", , vv ch orch
die legende vom heiligen stanislaus, 1869–85, "choral,  unfinished", , vv ch orch
die legende vom heiligen stanislaus, 1868?, "piano,  unfinished", , pf
singe wem gesang gegeben, 1848?, "choral,  unfinished", , mch orch
manfred, 1842–44, "choral,  unfinished", , ch orch
symphonie révolutionnaire, 1830–53, "orchestral,  unfinished", , orch
de profundis, 1834, "orchestral,  unfinished", , pf orch
violin concerto, 1860, "orchestral,  unfinished", , vn orch
die vier jahreszeiten, 1880?, "chamber,  unfinished", , 2vn va vc
piano sonata, 1880, "piano,  unfinished", f minor, pf
allegro maestoso (etude no. 13), 1826, "piano,  unfinished", f? major, pf
rakoczi-marsch, 1839–40, "piano,  unfinished", , pf
winzerchor aus den entfesselten prometheus, 1850?, "piano,  unfinished", , pf
marches dans le genre hongrois (2):, 1840?, "piano,  unfinished", , pf
march no.1, 1840?, "piano,  unfinished", d minor, pf
march no.2, 1840?, "piano,  unfinished", b? minor, pf
die legende von der heiligen elisabeth:, 1862, "piano,  unfinished", , pf
das rosenmirakel, 1862, "piano,  unfinished", , pf
der sturm, 1862, "piano,  unfinished", , pf
grande paraphrase de concert sur god save the queen et rule britannia (fantasie sur thèmes anglais), 1841, "orchestral,  unfinished", , pf orch
klavierstück, 1843, "piano,  unfinished", f major, pf
litanies de marie, 1846–47, "piano,  unfinished", , pf
zigeuner-epos (11):, 1848?, "piano,  unfinished", , pf
(lento), 1848?, "piano,  unfinished", c minor, pf
(andantino), 1848?, "piano,  unfinished", c major, pf
(sehr langsam), 1848?, "piano,  unfinished", d? major, pf
(animato), 1848?, "piano,  unfinished", c? major, pf
(tempo giusto), 1848?, "piano,  unfinished", d? major, pf
(lento), 1848?, "piano,  unfinished", g minor, pf
tempo di marca, 1848?, "piano,  unfinished", a minor, pf
(adagio sostenuto a capriccio), 1848?, "piano,  unfinished", d major, pf
(andante cantabile quasi adagio), 1848?, "piano,  unfinished", e? major, pf
(lento), 1848?, "piano,  unfinished", f minor, pf
(lento), 1848?, "piano,  unfinished", a minor, pf
romancero espagnol (3), 1845, "piano,  unfinished", , pf
introduction and fandango with variations, 1845, "piano,  unfinished", , pf
elaboration of an unidentified theme, 1845, "piano,  unfinished", , pf
jota aragonesa and coda, 1845, "piano,  unfinished", , pf
"petite valse (""nachspiel zu den drei vergessenen walzer"")", 1884?, "piano,  unfinished", , pf
"petite valse (""nachspiel zu den drei vergessenen walzer"")", 1884?, "piano,  unfinished", , pf
cadenza, 1883-85?, "piano,  unfinished", , pf
mephisto waltz no.4, 1885, "piano,  unfinished", , pf
fantasie über themen aus mozarts figaro und don giovanni, 1842, "piano,  unfinished", , pf
la mandragore (ballade de l'opera jean de nivelle), 1881, "piano,  unfinished", , pf
la notte, 1864-66, "piano,  unfinished", , pf
grande fantaisie sur des thèmes de paganini, 1845, "piano,  unfinished", , pf
variations de bravoure sur des thèmes de paganini, 1845, "piano,  unfinished", , pf
variations sur le carnaval de venise, 1843, "piano,  unfinished", , pf
la belle en robe des dimanches, 1830–39?, "vocal,  unfinished", , v pf
zur trauung, 1883–87?, "vocal,  unfinished", , v 2pf
titan (auf des athos blauen felsenspitzen), 1842, "vocal,  unfinished", , v pf
den felsengipfel stieg ich einst hinan, 1843?, "vocal,  unfinished", , v pf
allegro di bravura, 1830, "orchestral,  unfinished", , orch
marie-poème, 1837, "piano,  unfinished", , pf/(str?)
andante sensibilissimo, 1880–86, "piano,  unfinished", , pf
melodie in dorische tonart (prose des morts), 1861, "piano,  unfinished", , pf
"album leaf (""dante fragment"")", 1837, "piano,  unfinished", , pf
"album leaf (""glasgow fragment"")", 1841?, "piano,  unfinished", , pf
polnisch, 1876?, "piano,  unfinished", , pf
valse infernale, 1841?, "piano,  unfinished", , pf
album leaf, 1841, "piano,  unfinished", , pf
la charité, 1847, "piano,  unfinished", , pf
korrekturblatt, 1882, "piano,  unfinished", , pf
"album leaf (""weimar fragment"")", 1886?, "piano,  unfinished", , pf
trio, 1886?, "chamber,  unfinished", g minor, vn vc pf
korrekturblatt, 1853?, "piano,  unfinished", , org
scherzo, 1830, "piano,  unfinished", , pf
marche de prozinsky, 1846, "piano,  unfinished", c? minor, pf
appendix, , , , , 

doubtful or lost, , , , , 

sacred choral works, , , , , 

tantum ergo, 1822, "choral,  sacred", , ch
psalm 2 (quare fremuerunt gentes et populi), 1851, "choral,  sacred", , ten ch orch
requiem (on the death of emperor maximilian of mexico), 1867?, "choral,  sacred", , vv ch ?orch
the creation, 1867?, "choral,  sacred", , vv ch ?orch
benedictus,  ?, "choral,  sacred", , ch
excelsior,  ?, "choral,  sacred", , ch?
secular choral works, , , , , 

rinaldo, 1848, "choral,  secular", , ten mch orch
rinaldo, 1848, "choral,  secular", , ten mch pf
for orchestra, , , , , 

salve polonia, 1863, orchestral, , orch, renumbered as s.113

funeral march, 1850, orchestral, , orch, lost; possibly the same as s.102 or s.761

csárdás macabre, 1882?, orchestral, , orch, lost; reconstruction by g. darvos not based on authentic material

romance oubliée, 1881, orchestral, , orch, arr. of s.527; liszt's authorship doubtful

for piano and orchestra, , , , , 

piano concerto, 1825?, "orchestral,  piano", a minor, pf orch
piano concerto, 1825?, "orchestral,  piano", , pf orch
piano concerto (in the hungarian style), 1880–85?, "orchestral,  piano", , pf orch
piano concerto (in the italian style), 1830–39?, "orchestral,  piano", , pf orch
grande fantaisie symphonique,  ?, "orchestral,  piano", , pf orch (?)
other instrumental works, , , , , 

trio, 1825, chamber, d? major, vn vc pf, vc part was lost until 1997

quintet, 1825, chamber, , 2vn va vc db?, lost

duo on rossini's semiramide, 1827, chamber, , vn pf, based on themes from the opera semiramide by gioachino rossini; lost

"the fall of paris ms,  a military air with variations", 1827, chamber, , fl pf
un petit morceau, 1830-31?, chamber, , vn pf, lost

sextet, 1835 or earlier, chamber, , 2vn 2va 2vc, lost

grand fantasie on god save the queen and rule britannia, 1841, chamber, , vn va vc pf, arr. of s.694; lost

die vier jahreszeiten, 1880?, chamber, , 2vn va vc, renumbered as s.692a

allegro moderato, 1829, chamber, e major, vn pf, lost

prelude, 1882, chamber, , vn (+ pf?), lost

la notte, 1864-66, chamber, , vn pf, renumbered as s.377a

tristia, 1880?, chamber, , vn vc pf, "renumbered as s.378a
postlude (on a theme from orpheus), 1871, chamber, ,  ?, based on s.98; now attributed to leopold alexander zellner

for piano solo, , , , , 

rondo, 1824, piano, , pf, lost; possibly s.152?

fantasia, 1824, piano, , pf, lost

piano sonata, 1825, piano, f minor, pf, lost; only several bars were copied down from memory later by liszt

piano sonata, 1825, piano, c minor, pf, lost; only three bars were copied down from memory in a letter from liszt to his mother

piano sonata, 1825, piano, , pf, lost

etude,  ?, piano, , pf, lost

valse, 1835, piano, e major, pf, lost

prélude omnitonique, 1844, piano, , pf, renumbered as s.166e

sospiri!, 1879, piano, , pf, renumbered as s.192/5

tantum ergo, 1869, piano, , pf, lost; possibly arr. of s.42 or s.702

dem andenken petöfis, 1877, piano, , pf, renumbered as s.195

valse élégiaque, 1839, piano, , pf, renumbered as s.210

valse oubliée no.4, 1884, piano, , pf, renumbered as s.215/4

